u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,bridge,access,name,width,junction,tunnel,fid
25632361,25632279,0,252518836,True,,residential,,False,238.423,"LINESTRING (-8.6207549 41.1526088, -8.6206788 41.1525973, -8.6192752 41.1524145, -8.6179509 41.1522349)",,,,Rua da Torrinha,4,,,58
25632362,128677717,0,156211618,False,2,secondary,50,False,135.53799999999998,"LINESTRING (-8.6226637 41.1477709, -8.622827 41.1478204, -8.6237039 41.1480652, -8.6240692 41.1481681, -8.6241792 41.1481991)",,,,Rua de Dom Manuel II,,,,59
25632362,1874214575,0,"[434860177, 1174835646]",False,"['4', '3']",secondary,"['30', '50']",True,73.16399999999999,"LINESTRING (-8.6226637 41.1477709, -8.6226049 41.1477564, -8.6224903 41.1477282, -8.6221516 41.1476373, -8.6220608 41.1476127, -8.6218374 41.1475571)",,,,Rua de Dom Manuel II,,,,60
25632363,2250794621,0,156211619,True,2,secondary,30,False,26.365000000000002,"LINESTRING (-8.6203514 41.1474495, -8.6204003 41.1473455, -8.6204201 41.1472196)",,,,Rua de Clemente Menéres,,,,61
25632363,1684865542,0,156211620,True,1,secondary,30,False,26.373,"LINESTRING (-8.6203514 41.1474495, -8.6204237 41.147415, -8.620512 41.1473904, -8.6206422 41.1473629)",,,,Rua de Dom Manuel II,,,,62
25632367,25620518,0,35203817,True,,residential,,False,86.14,"LINESTRING (-8.6149639 41.1491595, -8.6149128 41.14934, -8.614841 41.1496608, -8.614815 41.1498424, -8.6148113 41.1498726, -8.6148066 41.1499243)",,,,Rua das Oliveiras,4,,,63
25632368,25632367,0,35203817,True,,residential,,False,84.239,"LINESTRING (-8.6156082 41.1485969, -8.6153813 41.1487505, -8.6151135 41.1489304, -8.6150232 41.1490299, -8.6149639 41.1491595)",,,,Rua das Oliveiras,4,,,64
25632368,1684844512,0,"[374346169, 128825637]",True,,residential,,False,132.715,"LINESTRING (-8.6156082 41.1485969, -8.6155863 41.1486503, -8.615587 41.1486798, -8.6155908 41.1487059, -8.6156627 41.1487981, -8.6156916 41.1488194, -8.6157319 41.148837, -8.6157734 41.1488438, -8.6158817 41.148835, -8.6161302 41.1488108, -8.6161508 41.1488042, -8.6161695 41.148794, -8.6161833 41.1487774, -8.6161933 41.1487613, -8.6161958 41.1487349, -8.6161446 41.1486053, -8.6160258 41.1483049, -8.6160034 41.1482473)",,,,Praça de Carlos Alberto,,,,65
25632372,475052386,0,30405423,True,,residential,,False,98.01,"LINESTRING (-8.6240719 41.1529176, -8.6229114 41.152802)",,,,Rua da Torrinha,4,,,66
25632372,1417603317,0,8367074,True,,residential,,False,47.674,"LINESTRING (-8.6240719 41.1529176, -8.6242034 41.1530165, -8.6245074 41.1531926)",,,,Rua do Padre Cruz,,,,67
